127.0.0.1 - - [27/Oct/2021:16:29:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Oct/2021:16:29:31 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22265
0:0:0:0:0:0:0:1 - - [27/Oct/2021:16:29:38 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22265
0:0:0:0:0:0:0:1 - - [27/Oct/2021:16:29:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:35:44 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22265
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:18 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:20 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:20 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:21 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:25 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:25 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:43:26 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:46:07 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:46:08 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:49:58 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22372
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:50:30 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22376
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:50:33 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22376
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:50:38 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22376
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:50:53 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:54:27 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:54:27 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:54:36 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:54:36 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:17:54:37 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22374
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:27 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:27 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:28 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:52 +0900] "GET /BBS/map.jsp HTTP/1.1" 500 2263
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:55 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:57 +0900] "GET /BBS/map.jsp HTTP/1.1" 500 2263
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:58 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:58 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:07:59 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [27/Oct/2021:18:28:19 +0900] "GET /BBS/popup.html?id=item0_grade1 HTTP/1.1" 200 1709
