127.0.0.1 - - [30/Dec/2021:14:03:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:03:28 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:03:31 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:33 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:34 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:34 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:35 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:42 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:42 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:45 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:45 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:45 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:04:45 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:05:47 +0900] "GET /BBS/join.html HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [30/Dec/2021:14:05:51 +0900] "GET /BBS/join.html HTTP/1.1" 200 6176
