127.0.0.1 - - [04/Jan/2022:18:10:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:10:39 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:10:42 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:10:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:14:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:14:41 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29511
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:14:55 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29511
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:15:00 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29511
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:15:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:15:19 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:15:19 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:16:16 +0900] "GET /BBS/popup.html?id=item1_grade1 HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:16:22 +0900] "GET /BBS/popup.html?id=item0_grade1 HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:18:26 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:19:31 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:09 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:39 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:39 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:40 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:46 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:46 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:46 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:46 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:47 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:47 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:47 +0900] "GET /BBS/recommendUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:20:47 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:33:25 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:34:17 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:34:17 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:35:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 500 2903
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:35:22 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29152
