127.0.0.1 - - [05/Feb/2022:16:38:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:38:32 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:39:02 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:39:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:42:02 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:42:03 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:46:23 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:46:25 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:46:30 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:46:34 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 7051
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:08 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:09 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:11 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:13 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29934
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:15 +0900] "GET /BBS/page.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:47:29 +0900] "GET /BBS/page.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:12 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:12 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:15 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:17 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:19 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:24 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:43 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:51 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:55 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29934
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:48:59 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:49:15 +0900] "GET /BBS/notice.jsp?pageNumber=2 HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:49:17 +0900] "GET /BBS/notice.jsp?pageNumber=3 HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:49:18 +0900] "GET /BBS/notice.jsp?pageNumber=2 HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:49:19 +0900] "GET /BBS/notice.jsp?pageNumber=1 HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:50:16 +0900] "GET /BBS/post.jsp?bbsID=31 HTTP/1.1" 200 2893
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:51:19 +0900] "GET /BBS/notice.jsp?pageNumber=1 HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:51:45 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:52:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:52:20 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:53:33 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:53:33 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:53:34 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:53:35 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:54:01 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:55:12 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:55:59 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:56:44 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:57:06 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:57:12 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:57:24 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:57:31 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:16:59:30 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:00:09 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:00:58 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:01:00 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:01:46 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:01:53 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:30 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:33 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:34 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:36 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:47 +0900] "GET /BBS/notice.jsp?submenuID=2 HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:49 +0900] "GET /BBS/notice.jsp?submenuID=1 HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:50 +0900] "GET /BBS/notice.jsp?submenuID=3 HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:51 +0900] "GET /BBS/notice.jsp?submenuID=4 HTTP/1.1" 200 6450
0:0:0:0:0:0:0:1 - - [05/Feb/2022:17:02:51 +0900] "GET /BBS/notice.jsp?submenuID=5 HTTP/1.1" 200 6450
