127.0.0.1 - - [23/Mar/2022:16:02:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:02:59 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:03 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:05 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:08 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:08 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:12 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:13 +0900] "GET /BBS/logoutAction.jsp?href=notice HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:03:13 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:05:50 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:06:26 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:06:28 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:06:31 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:10:56 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:11:05 +0900] "GET /BBS/notice.jsp?submenuID=1 HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [23/Mar/2022:16:11:05 +0900] "GET /BBS/notice.jsp?submenuID=2 HTTP/1.1" 200 7608
