127.0.0.1 - - [20/Apr/2022:15:38:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:38:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:38:23 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:38:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:41:02 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:41:53 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:42:17 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:42:21 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:42:21 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:42:53 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 92698
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:48 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:48 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:43:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:44:26 +0900] "GET /BBS/popup.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:45:21 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:45:37 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:46:47 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:48:48 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:50:08 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:51:07 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:51:55 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:51:59 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=private HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:00 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:05 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 92706
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:10 +0900] "POST /BBS/publicmapAction.jsp?userID=kim&publicmap=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:13 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:14 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4895
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:15 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=private HTTP/1.1" 200 4299
0:0:0:0:0:0:0:1 - - [20/Apr/2022:15:52:17 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91544
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:49 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:52 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:52 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:53 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 92706
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:57 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [20/Apr/2022:16:17:58 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
