127.0.0.1 - - [03/May/2022:18:01:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2022:18:01:26 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [03/May/2022:18:01:29 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5964
0:0:0:0:0:0:0:1 - - [03/May/2022:18:01:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2022:18:03:59 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [03/May/2022:18:04:30 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [03/May/2022:18:05:02 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [03/May/2022:18:05:50 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [03/May/2022:18:06:00 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [03/May/2022:18:10:53 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/May/2022:18:10:53 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [03/May/2022:18:10:54 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98281
0:0:0:0:0:0:0:1 - - [03/May/2022:18:13:02 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98281
0:0:0:0:0:0:0:1 - - [03/May/2022:18:13:03 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [03/May/2022:18:13:03 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 98281
